書名,請求記号,書名ヨミ,著者,冊数,出版者,出版年,種別,言語,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:callNumber,dcndl:titleTranscription,dcterms:creator,dcterms:extent,dcterms:publisher,dcterms:issued,dcndl:materialType,dcterms:language,archiveshub:note,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,766
音義打合圖,A00:5741,オンギ ウチアイ ノ ズ,堀 秀成,1,[堀茂足] [自筆],嘉永3 [1850] [跋],図書,日本語,"写本|題簽の書名: 打合圖|[跋]末に「嘉永弎とせというとしの冬堀茂足」とあり|朱点, 朱引あり|朱墨筆書き入れあり|印記: 「堀氏書」(堀秀成), 「青洲文庫」(渡辺信)|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/62f45b23-4119-5792-593c-0da51955377b.json,62f45b23-4119-5792-593c-0da51955377b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/62f45b23-4119-5792-593c-0da51955377b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad06db6cd23684e4bb22d301dc32e1f9f2754abd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332991,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/62f45b23-4119-5792-593c-0da51955377b/manifest,,,,,84
武具要説 2巻/ 高坂弾正 [撰] ; 東山中富閲 [1],A00:6021,ブグ ヨウセツ,高坂 昌信,2,[塩屋權平],寛政6 [1794] 序,図書,日本語,"序末に「仍點毫以輔謄冩云爾 寛政六甲寅正月 阿波中富東山達叙」とあり|本文末に「天正五三月八日 高坂弾正書置之」とあり|乾の見返しに「今茲甲寅請官上梓公之于世四方君子願賜采覽 博文堂中西安載謹識」との刊語あり|坤の後見返しに「寛政六甲寅正月書肆 皇都 錢屋善兵衛/浪華 塩屋權平」の出版広告あり|四周単辺無界8行, 内匡廓: 18.3×13.2cm, 白口無魚尾|付訓あり|乾の表紙に「信友校本」との墨書あり|坤の巻末に「後享和三年至文化八年再三伴信友以数夲挍」との朱書及び墨筆識語あり|朱墨筆書き入れあり|印記: 「源伴信友」, 「不忍人必自忍也」(伴信友), 「青洲文庫」(渡辺信)|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a27eee55-1a25-7dcd-a5f4-0c37f1649fbd.json,a27eee55-1a25-7dcd-a5f4-0c37f1649fbd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/a27eee55-1a25-7dcd-a5f4-0c37f1649fbd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1c28f39456fefec8505bcc12a694801a2ca0e631.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332990,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a27eee55-1a25-7dcd-a5f4-0c37f1649fbd/manifest,,,,,26
武具要説 2巻/ 高坂弾正 [撰] ; 東山中富閲 [2],A00:6021,ブグ ヨウセツ,高坂 昌信,2,[塩屋權平],寛政6 [1794] 序,図書,日本語,"序末に「仍點毫以輔謄冩云爾 寛政六甲寅正月 阿波中富東山達叙」とあり|本文末に「天正五三月八日 高坂弾正書置之」とあり|乾の見返しに「今茲甲寅請官上梓公之于世四方君子願賜采覽 博文堂中西安載謹識」との刊語あり|坤の後見返しに「寛政六甲寅正月書肆 皇都 錢屋善兵衛/浪華 塩屋權平」の出版広告あり|四周単辺無界8行, 内匡廓: 18.3×13.2cm, 白口無魚尾|付訓あり|乾の表紙に「信友校本」との墨書あり|坤の巻末に「後享和三年至文化八年再三伴信友以数夲挍」との朱書及び墨筆識語あり|朱墨筆書き入れあり|印記: 「源伴信友」, 「不忍人必自忍也」(伴信友), 「青洲文庫」(渡辺信)|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/edc87c57-a26c-3950-2052-2055e7e0342e.json,edc87c57-a26c-3950-2052-2055e7e0342e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/edc87c57-a26c-3950-2052-2055e7e0342e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/71510da0e68aca49231e8c1ee3610167ad153dd5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332989,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/edc87c57-a26c-3950-2052-2055e7e0342e/manifest,,,,,26
筠庭雜録,A00:6028,インテイ ザツロク,喜多村 信節,1,[書写者不明],[江戸後期],図書,日本語,"写本|表紙の書名: 筠庭襍録|版心の書名: 雜考|毎半葉11行注文双行|訓点付|貼紙1枚あり|四周単辺無界罫紙を使用|墨筆書き入れあり|仮綴|印記: 「喜多村」(喜多村信節), 「長井之印」(長井十足), 「長井十足臧印」, 「青洲文庫」(渡辺信)|虫損あり",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/54812721-8ff8-7a69-a16d-3394cb999eaf.json,54812721-8ff8-7a69-a16d-3394cb999eaf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/54812721-8ff8-7a69-a16d-3394cb999eaf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/47e589fe705e768f7110d0efaaac40f5c13940de.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332988,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/54812721-8ff8-7a69-a16d-3394cb999eaf/manifest,,,,,39
まんちう,A00:6031,マンジュウ,,1,[出版者不明],[寛永年間],図書,日本語,"版心の書名: 満中|帙題簽の書名: まんぢう|四周無辺無界10行, 白口無魚尾 (挿画内匡廓: 18.6×13.9cm)|漢字平仮名交じり文|付訓あり|丹緑本|筆彩あり|後見返しに「文化十三年丙子二月下浣更表装収臧于洒落斎書庫 式亭三馬」との識語あり|印記: 「好文堂」, 「青洲文庫」(渡辺信)|虫損あり (裏打ち補修あり)",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/490c09db-75ff-2296-93f7-39f131e849d7.json,490c09db-75ff-2296-93f7-39f131e849d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/490c09db-75ff-2296-93f7-39f131e849d7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5512ada43e5521a7ae103a7c0b1ce47aad966257.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332987,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/490c09db-75ff-2296-93f7-39f131e849d7/manifest,,,,,47
絳帖 12巻 (存6巻) [1],A00:6101,コウチョウ,潘 師旦,6,[出版者不明],[宣徳年間],図書,中国語,"折本|巻末に「湻化五秊嵗在甲午春王正月潘師旦奉聖㫖摹勒上石」とあり|帙題簽に「即偽絳帖」との墨書あり|卷第6-7: 晋王献之. 卷第8: 晋劉伶 [ほか]. 卷第10: 唐張旭 [ほか]. 卷第11: 唐李建中 [ほか]. 卷第12: 唐孫過亭 [ほか]|墨紙匡廓: 26.1×13.2cm|石版濃墨刻拓本|木挟板|印記: 「翰林之印」, 「宣徳御寶」, 「尚寶少卿袁氏忠徹印」(袁忠徹(1377-1459)), 「檇李項氏世家宝玩」, 「子京」(項元汴(1525-1590)), 「研山齋」(孫承澤(1592-1676)), 「渡邉氏圖書記」(渡辺春英)|破損甚し",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ecc918de-1376-1987-5eb8-12099b0514be.json,ecc918de-1376-1987-5eb8-12099b0514be,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/ecc918de-1376-1987-5eb8-12099b0514be,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e421c683a97278d7fdac7aae11e7445ede1ba370.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332986,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ecc918de-1376-1987-5eb8-12099b0514be/manifest,,,,,18
絳帖 12巻 (存6巻) [2],A00:6101,コウチョウ,潘 師旦,6,[出版者不明],[宣徳年間],図書,中国語,"折本|巻末に「湻化五秊嵗在甲午春王正月潘師旦奉聖㫖摹勒上石」とあり|帙題簽に「即偽絳帖」との墨書あり|卷第6-7: 晋王献之. 卷第8: 晋劉伶 [ほか]. 卷第10: 唐張旭 [ほか]. 卷第11: 唐李建中 [ほか]. 卷第12: 唐孫過亭 [ほか]|墨紙匡廓: 26.1×13.2cm|石版濃墨刻拓本|木挟板|印記: 「翰林之印」, 「宣徳御寶」, 「尚寶少卿袁氏忠徹印」(袁忠徹(1377-1459)), 「檇李項氏世家宝玩」, 「子京」(項元汴(1525-1590)), 「研山齋」(孫承澤(1592-1676)), 「渡邉氏圖書記」(渡辺春英)|破損甚し",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/10c38274-2398-66b0-91a3-0367201e96b8.json,10c38274-2398-66b0-91a3-0367201e96b8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/10c38274-2398-66b0-91a3-0367201e96b8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e90a2fa6286c747bb22247dd209a3aca2ba2ca0b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332985,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/10c38274-2398-66b0-91a3-0367201e96b8/manifest,,,,,21
絳帖 12巻 (存6巻) [3],A00:6101,コウチョウ,潘 師旦,6,[出版者不明],[宣徳年間],図書,中国語,"折本|巻末に「湻化五秊嵗在甲午春王正月潘師旦奉聖㫖摹勒上石」とあり|帙題簽に「即偽絳帖」との墨書あり|卷第6-7: 晋王献之. 卷第8: 晋劉伶 [ほか]. 卷第10: 唐張旭 [ほか]. 卷第11: 唐李建中 [ほか]. 卷第12: 唐孫過亭 [ほか]|墨紙匡廓: 26.1×13.2cm|石版濃墨刻拓本|木挟板|印記: 「翰林之印」, 「宣徳御寶」, 「尚寶少卿袁氏忠徹印」(袁忠徹(1377-1459)), 「檇李項氏世家宝玩」, 「子京」(項元汴(1525-1590)), 「研山齋」(孫承澤(1592-1676)), 「渡邉氏圖書記」(渡辺春英)|破損甚し",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/15601e3d-40cd-5955-0388-fb927e2b4225.json,15601e3d-40cd-5955-0388-fb927e2b4225,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/15601e3d-40cd-5955-0388-fb927e2b4225,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5b86f752723fd9a6a23ef330c145344d0830f7dc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332984,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/15601e3d-40cd-5955-0388-fb927e2b4225/manifest,,,,,23
絳帖 12巻 (存6巻) [4],A00:6101,コウチョウ,潘 師旦,6,[出版者不明],[宣徳年間],図書,中国語,"折本|巻末に「湻化五秊嵗在甲午春王正月潘師旦奉聖㫖摹勒上石」とあり|帙題簽に「即偽絳帖」との墨書あり|卷第6-7: 晋王献之. 卷第8: 晋劉伶 [ほか]. 卷第10: 唐張旭 [ほか]. 卷第11: 唐李建中 [ほか]. 卷第12: 唐孫過亭 [ほか]|墨紙匡廓: 26.1×13.2cm|石版濃墨刻拓本|木挟板|印記: 「翰林之印」, 「宣徳御寶」, 「尚寶少卿袁氏忠徹印」(袁忠徹(1377-1459)), 「檇李項氏世家宝玩」, 「子京」(項元汴(1525-1590)), 「研山齋」(孫承澤(1592-1676)), 「渡邉氏圖書記」(渡辺春英)|破損甚し",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/13bf8ed7-7fbf-5a89-17bd-89cabdd58f19.json,13bf8ed7-7fbf-5a89-17bd-89cabdd58f19,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/seisyu/document/13bf8ed7-7fbf-5a89-17bd-89cabdd58f19,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/16ad082fde5664d33080f7fce256b3761373611f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1332983,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,総合図書館所蔵青洲文庫,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/13bf8ed7-7fbf-5a89-17bd-89cabdd58f19/manifest,,,,,19
