書名	書名よみ	他の書名	責任表示	出版	注記	分類	原本請求記号	マイクロフィルム番号	形態	通番	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:alternative	dcterms:creator	dcterms:publisher	dcterms:description	dcterms:subject	dcndl:callNumber	dcndl:sourceIdentifier	dcterms:extent	uterms:sort	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	1098
随門記	ズイモンキ			写		俳諧	A00:洒竹:1876	2-1-3	1冊;小	1	4fa1c816-065a-6f48-4e56-85ff2bf87a22	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/4fa1c816-065a-6f48-4e56-85ff2bf87a22	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/75ccf8c21708754ce4b4dcb5b3ea38d220f10649.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169756		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169756/manifest					43
誹諧難波順礼	ハイカイ ナニワ ジュンレイ		瓠界編, 跋	京都 : 井筒屋庄兵衛 刊		俳諧	A00:洒竹:2616	4-9-9	1冊;中	10	7dc5e926-6df0-6da9-18a0-459cc762a19a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/7dc5e926-6df0-6da9-18a0-459cc762a19a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/14d84b7ec1ee96c25398ebed941252aa12aa982c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169752		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169752/manifest					38
豊臣秀吉明智光秀連歌	トヨトミ ヒデヨシ アケチ ミツヒデ レンガ		豊臣秀吉, 明智光秀[ほか]著	写		連歌	A00:竹冷:3	4-9-11	1冊;中	11	aac712be-7f0b-682a-481e-420fc9538e89	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/aac712be-7f0b-682a-481e-420fc9538e89	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cc66bf9405c1e42bd920f95f8f1e27aa0e71d9e5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169759		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169759/manifest					16
句餞別	クセンベツ		芭蕉著 ; 自在庵祇徳編	文叢堂川村源左衛門 , 寛保4 [1744] (奥) 刊		俳諧	A00:竹冷:293	4-9-12	1冊;中	12	ef43bbdf-1c29-0e32-7f8b-76c46bb08ac9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/ef43bbdf-1c29-0e32-7f8b-76c46bb08ac9	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d293d99d1ad5b09ba59f8cbd6e570fb92ed0e61e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169749		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169749/manifest					20
幕つくし	マクヅクシ		松意等著	新大坂町 : 上村理右衛門 , 延宝6 [1678] (奥) 刊		俳諧	A00:洒竹:3480	4-9-18	1冊;中	13	c7223e6a-6626-4b50-617d-6381cc364bac	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/c7223e6a-6626-4b50-617d-6381cc364bac	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b7536418f10f329032766bff5cdc184b17b5a06b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169750		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169750/manifest					29
俳諧仙台紀行	ハイカイ センダイ キコウ	仙台紀行	有次著	万治2 [1659] (奥) 写	識語 :  「・・・原本は小形の巻物にして奥に年号と自著花押あり、●に写すが如し、原本は巻頭に書名著者名を記しあらず、予が書籍の体裁上加へたるなり・・・己酉初冬岩本震五子」	俳諧	A00:洒竹:1881	4-14-12	1冊;中	14	f79f61a1-67a9-7e2b-1795-1e07fb6f373c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/f79f61a1-67a9-7e2b-1795-1e07fb6f373c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/53a2954d263510969b404e4e5878485fd5b79d3a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169754		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169754/manifest					28
鎌倉染	カマクラゾメ		竹心斎高本竹妓編, 跋	文化13 [1816] (序) 刊		俳諧	A00:洒竹:658	5-1-9	1冊;中	15	be3b5264-4d5f-166e-94b2-20138b496cf6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/be3b5264-4d5f-166e-94b2-20138b496cf6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/52c38e793a7f46e356254262d9e8e71389f9e981.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169747		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169747/manifest					32
縄結ひ	ナワユイ	繩結び集	二世閑月庵竹妓編, 序	文政2 [1819] (序) 刊		俳諧	A00:洒竹:2601	5-1-10	1冊;中	16	89f8eb95-211d-0f04-a79b-bd2f8bd4465f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/89f8eb95-211d-0f04-a79b-bd2f8bd4465f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/db64397e724f14a854a654e86f2d454605083430.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169753		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169753/manifest					27
新撰犬筑波集	シンセン イヌ ツクバシュウ	筑波集	山崎宗鑑編		古活字本	俳諧	A00:竹冷:664	5-6-2	1冊;大	17	5fd91e88-48cd-7a10-449e-72ffdfa37b68	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/5fd91e88-48cd-7a10-449e-72ffdfa37b68	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/308aa8b081d7496a7677a99e94713cc67d75ead0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169743		http://iiif.io/api/presentation/2#rightToLeftDirection		江戸期俳諧書		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169743/manifest					40
